10159;889698810159
10661;889698810661
14889;889698214889
15482;889698815482
23834;889698623834
23908;830395023908
23933;889698623933
27225;889698827225
30521;889698530521
31916;889698231916
32634;889698432634
33241;889698133241
34544;889698834544
34605;889698834605
42191;889698742191
44603;889698544603
45584;889698645584
46712;849803046712
49265;889698849265
50281;889698650281
51179;889698751179
52899;889698552899
52906;889698852906
53224;889698853224
53231;889698853231
53262;889698853262
54322;889698454322
56423;889698856423
56501;889698756501
57386;889698757386
58586;849803058586
58734;889698758734
59026;849803059026
59366;889698759366
61403;889698861403
63124;889698863124
63148;889698863148
63304;889698663304
63556;889698363556
65289;889698865289
65371;889698865371
66271;889698466271
66618;889698366618
69258;889698469258
72447;889698872447
73467;889698573467
